brand,product_name,rating,review_title,review_body,review_text,review_date,source_file,source_sheet,source_review_id,voc_tags,voc_tag_count,sentiment,matched_keywords
Unknown,Aaisha Faux Leather Armchair,5.0,,These classic wassili chairs are great to sit in and bring sophistication to my living room.,These classic wassili chairs are great to sit in and bring sophistication to my living room.,2026-01-29,Aaisha Faux Leather Armchair_100条.xlsx,Sheet1,161273572,艺术感/收藏感; 尺寸与空间适配; 舒适度/实用性; 情绪价值,4,正向,艺术感/收藏感: classic | 尺寸与空间适配: room | 舒适度/实用性: sit | 情绪价值: sophistication
Unknown,Aaisha Faux Leather Armchair,5.0,,"Fast shipping, box packaged nicely, fully assembled so all I had to do was take it out of the packaging. Very sturdy and stylish chair — I purchased it for my photo studio and I am excited to use it for shoots. Highly recommend!","Fast shipping, box packaged nicely, fully assembled so all I had to do was take it out of the packaging. Very sturdy and stylish chair — I purchased it for my photo studio and I am excited to use it for shoots. Highly recommend!",2025-02-23,Aaisha Faux Leather Armchair_100条.xlsx,Sheet1,144053612,外观审美; 做工质量; 舒适度/实用性; 物流包装; 安装体验; 情绪价值; 照片与实物差异,7,正向,"外观审美: stylish | 做工质量: sturdy | 舒适度/实用性: use | 物流包装: shipping, packaged, packaging, box, fast shipping | 安装体验: assembled | 情绪价值: excited, recommend | 照片与实物差异: photo"
Unknown,Aaisha Faux Leather Armchair,5.0,,Love this chair! Very stylish and sleek,Love this chair! Very stylish and sleek,2024-03-18,Aaisha Faux Leather Armchair_100条.xlsx,Sheet1,124853746,外观审美; 情绪价值,2,正向,"外观审美: stylish, sleek | 情绪价值: love"
Unknown,Aaisha Faux Leather Armchair,5.0,,Great Wassily chair replica! Best quality-price option!,Great Wassily chair replica! Best quality-price option!,2024-01-04,Aaisha Faux Leather Armchair_100条.xlsx,Sheet1,121097276,艺术感/收藏感; 做工质量; 价格价值感,3,正向,"艺术感/收藏感: wassily, replica | 做工质量: quality | 价格价值感: price, quality-price"
Unknown,Aaisha Faux Leather Armchair,4.0,,"Awesome to be able to get what is basically a true icon of 20th Century design, Marcel Breuer's Wassily chair, at an affordable price. It's something I've lusted after for years and years. Unfortunately for me, it seems that in shipping, one of the sides had weight placed on it and bent. Your luck may be better than mine, however","Awesome to be able to get what is basically a true icon of 20th Century design, Marcel Breuer's Wassily chair, at an affordable price. It's something I've lusted after for years and years. Unfortunately for me, it seems that in shipping, one of the sides had weight placed on it and bent. Your luck may be better than mine, however",2023-12-28,Aaisha Faux Leather Armchair_100条.xlsx,Sheet1,120810682,外观审美; 艺术感/收藏感; 物流包装; 价格价值感,4,正向,外观审美: design | 艺术感/收藏感: wassily | 物流包装: shipping | 价格价值感: price
Unknown,Aaisha Faux Leather Armchair,5.0,,Amazing chair always a conversation piece love ❤️ it,Amazing chair always a conversation piece love ❤️ it,2023-10-30,Aaisha Faux Leather Armchair_100条.xlsx,Sheet1,117951937,艺术感/收藏感; 情绪价值,2,正向,"艺术感/收藏感: conversation | 情绪价值: love, amazing"
Unknown,Aaisha Faux Leather Armchair,5.0,,"Very stylish chair, looks very high end and is a unique addition to our living room.","Very stylish chair, looks very high end and is a unique addition to our living room.",2023-02-10,Aaisha Faux Leather Armchair_100条.xlsx,Sheet1,104478955,外观审美; 艺术感/收藏感; 尺寸与空间适配,3,正向,"外观审美: stylish, looks | 艺术感/收藏感: unique | 尺寸与空间适配: room"
Unknown,Aaisha Faux Leather Armchair,5.0,,I simply adore them. You can’t beat the price!!,I simply adore them. You can’t beat the price!!,2022-05-27,Aaisha Faux Leather Armchair_100条.xlsx,Sheet1,94811563,价格价值感,1,正向,价格价值感: price
Unknown,Aaisha Faux Leather Armchair,5.0,,Love it! Great chair for my living room area!,Love it! Great chair for my living room area!,2020-02-23,Aaisha Faux Leather Armchair_100条.xlsx,Sheet1,45702506,尺寸与空间适配; 情绪价值,2,正向,尺寸与空间适配: room | 情绪价值: love
Unknown,Aaisha Faux Leather Armchair,5.0,,Absolutely beautiful. Very comfortable and there is no assembly. It doesnt get any better than this!,Absolutely beautiful. Very comfortable and there is no assembly. It doesnt get any better than this!,2018-08-30,Aaisha Faux Leather Armchair_100条.xlsx,Sheet1,23548420,外观审美; 舒适度/实用性; 安装体验,3,正向,外观审美: beautiful | 舒适度/实用性: comfortable | 安装体验: assembly
