product_name,review_count,avg_rating
Aaisha Faux Leather Armchair,100,4.59
Raechell Solid Wood End Table,90,4.49
Louis Ghost Premium All-Weather Wicker Outdoor Stacking Dining Armchair (Set of 2),90,4.73
Hot Mesh Lounge Chair,70,4.74
Masters 18.11'' H Stacking Armchair (Set of 2),70,4.69
Elivra Iron Top End Table,70,4.83
Kloud 1 - Light Single Globe Pendant,59,4.73
Meurice 42 - Light Dimmable Modern Linear Chandelier,50,4.78
Max Beam End Table,49,4.78
FL_Y 1 - Light Single Pendant,47,4.47
Abdullahi Glass Top End Table,45,4.71
Upholstered Counter Stool with Metal Frame (Set of 2),42,4.88
"Saralie Modern ABS Plastic Side Table – Curved Geometric Design End Table with Pedestal Base, Living Room Table or Bedroom Nightstand (Set of 2)",42,4.4
Lampert Sofa,22,4.77
Desiree 22.5_ Wide Boucle Fabric Accent Chair,20,4.9
Modway Vivi 30.5 Wide,20,4.6
Lize Upholstered Swivel Barrel Chair,19,4.84
Rider Dining Chair,15,4.87
Modern Table,13,5.0
Beaumont Lounge Chair,13,4.23
Lodge Chair,11,4.82
Ventana 12 - Light Tiered Chandelier,11,4.82
Randal Chenille Accent Chair,10,4.5
Rider Upholstered Side Chair,4,5.0
Serpent End Table,4,3.0
